minx,SipNo,Siparis_Miktari,Birim,Toplam_Kapatilan,Gonderilen,Faturalanan,Net_Kalan,kgid,insUN,insDT,insApp,updUN,updDT,updApp
6,1067,10000.0,ADET,0.0,0.0,0.0,10000.0,1,,,,,,
6,1323,200.0,ADET,200.0,200.0,200.0,0.0,2,,,,,,
6,1345,24.0,ADET,0.0,0.0,0.0,24.0,3,,,,,,
6,1346,20.0,ADET,0.0,0.0,0.0,20.0,4,,,,,,
6,1361,356.0,ADET,356.0,356.0,356.0,0.0,5,,,,,,
6,1380,17.0,ADET,17.0,17.0,17.0,0.0,6,,,,,,
6,1382,30.0,ADET,30.0,30.0,30.0,0.0,7,,,,,,
6,1409,70.0,ADET,70.0,70.0,70.0,0.0,8,,,,,,
6,1433,150.0,ADET,150.0,150.0,150.0,0.0,9,,,,,,
6,1443,100.0,ADET,100.0,100.0,0.0,0.0,10,,,,,,
6,1444,5955.0,ADET,5955.0,5955.0,5955.0,0.0,11,,,,,,
6,1507,3100.0,ADET,3100.0,3100.0,3100.0,0.0,12,,,,,,
6,1527,50.0,ADET,50.0,50.0,50.0,0.0,13,,,,,,
6,1546,540.0,ADET,540.0,540.0,540.0,0.0,14,,,,,,
6,1589,125.0,ADET,125.0,125.0,125.0,0.0,15,,,,,,
6,1604,76.0,ADET,76.0,76.0,76.0,0.0,16,,,,,,
6,1605,585.0,ADET,585.0,585.0,585.0,0.0,17,,,,,,
6,1612,120.0,ADET,120.0,120.0,50.0,0.0,18,,,,,,
6,1613,20.0,ADET,20.0,20.0,20.0,0.0,19,,,,,,
6,1630,20000.0,ADET,20000.0,20000.0,20000.0,0.0,20,,,,,,
6,1654,4700.0,ADET,4700.0,4700.0,4700.0,0.0,21,,,,,,
6,1655,14200.0,ADET,14200.0,14200.0,14200.0,0.0,22,,,,,,
6,1657,10000.0,ADET,10000.0,10000.0,10000.0,0.0,23,,,,,,
6,1660,1250.0,ADET,1250.0,1250.0,1250.0,0.0,24,,,,,,
