UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,kgid,insUN,insDT,insApp,updUN,updDT,updApp,mkgid
dbo,KORGUNYAZILIM2310,CA001,,,9,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CA002,,,10,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CA003,,,11,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CA004,,,12,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CH001,,,13,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CH002,,,14,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CS001,,,15,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
dbo,KORGUNYAZILIM2310,CS002,,,16,dbo,2024-08-07 10:35:42.723000,Update,dbo,2024-08-07 10:35:42.743000,Update,18
Guray,KORGUNYAZILIM2310,CA001,,,1,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CA002,,,2,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CA003,,,3,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CA004,,,4,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CH001,,,5,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CH002,,,6,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CS001,,,7,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
Guray,KORGUNYAZILIM2310,CS002,,,8,dbo,2024-07-26 16:07:53.340000,Paramet,dbo,2024-07-26 16:07:53.373000,Paramet,97
