UserName,CatalogName,AccessTT,ReadLoc,WriteLoc,kgid,insUN,insDT,insApp,updUN,updDT,updApp,mkgid
CAHIT,KORGUNYAZILIM2310,001,,,197,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,002,,,198,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,003,,,199,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,004,,,200,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,005,,,201,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,006,,,202,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,007,,,203,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,008,,,204,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,009,,,205,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,010,,,206,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,011,,,207,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,012,,,208,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,013,,,209,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
CAHIT,KORGUNYAZILIM2310,014,,,210,dbo,2024-09-26 11:56:53.213000,,dbo,2024-09-26 11:56:53.227000,,1120
dbo,KORGUNYAZILIM2310,001,,,43,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,002,,,44,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,003,,,45,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,004,,,46,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,005,,,47,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,006,,,48,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,007,,,49,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
dbo,KORGUNYAZILIM2310,008,,,50,dbo,2024-01-15 10:20:20.393000,,dbo,2024-01-15 10:20:20.403000,,18
