UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
22,KORGUNYAZILIM2310,,,,2669,1,dbo,2024-05-24 14:12:30.203000,,dbo,2024-05-24 14:12:30.220000,
22,KORGUNYAZILIM2310,*,,,2525,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CA001,,,2526,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CA002,,,2527,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CA003,,,2528,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CA004,,,2529,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CH001,,,2530,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CH002,,,2531,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CS001,,,2532,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
22,KORGUNYAZILIM2310,CS002,,,2533,1,dbo,2024-02-15 15:21:55.617000,,dbo,2024-02-15 15:21:55.617000,
2310AndroidSip,KORGUNYAZILIM2310,,,,2670,1,dbo,2024-05-24 14:12:30.203000,,dbo,2024-05-24 14:12:30.220000,
2310AndroidSip,KORGUNYAZILIM2310,*,,,2844,1,dbo,2025-04-16 17:49:25.833000,Paramet,dbo,2025-04-16 17:49:25.847000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CA001,,,2845,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CA002,,,2846,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CA003,,,2847,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CA004,,,2848,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CH001,,,2849,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CH002,,,2850,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CS001,,,2851,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,CS002,,,2852,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
2310AndroidSip,KORGUNYAZILIM2310,MGZ00,,,2853,1,dbo,2025-04-16 17:49:32.643000,Paramet,dbo,2025-04-16 17:49:32.657000,Paramet
