inx,Modul,KartKod,KartKod2,KartKod3,FisNo,UpdUN,UpdDT
2,SF,,,,19083,devir,2023-01-25 16:18:26.193000
3,SF,,,,19084,devir,2023-01-25 16:18:29.483000
4,SF,,,,19085,devir,2023-01-25 16:18:31.217000
5,SF,,,,19086,devir,2023-01-25 16:18:39.593000
6,SF,,,,19087,devir,2023-01-25 16:18:45.383000
7,SF,,,,19088,devir,2023-01-25 16:18:52.383000
8,SF,,,,19089,devir,2023-01-25 16:18:58.317000
9,SF,,,,19090,devir,2023-01-25 16:19:01.517000
10,SF,,,,19091,devir,2023-01-25 16:19:05.203000
11,SF,,,,19092,devir,2023-01-25 16:19:06.130000
12,SF,,,,19093,devir,2023-01-25 16:19:06.470000
13,SF,,,,19094,devir,2023-01-25 16:19:07.370000
14,SF,,,,19095,devir,2023-01-25 16:19:10.007000
15,SF,,,,19096,devir,2023-01-25 16:19:16.260000
16,SF,,,,19097,devir,2023-01-25 16:19:16.973000
17,SF,,,,19098,devir,2023-01-25 16:19:17.210000
18,SF,,,,19099,devir,2023-01-25 16:19:20.210000
19,SF,,,,19100,devir,2023-01-25 16:19:21.577000
