Id,UserName,ClientName,HostName,DateTime,Timeout,Application
1,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 20:04:35.323000,5000,KG-Shope
2,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 20:04:35.337000,0,KG-Shope
3,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 20:43:05.183000,5000,KG-Shope
4,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 20:43:05.190000,0,KG-Shope
5,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 21:24:03.213000,5000,KG-Shope
6,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 21:24:03.243000,0,KG-Shope
7,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 22:10:19.410000,100,KG-Shope
8,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 22:10:20.287000,0,KG-Shope
9,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 22:34:33.267000,5000,KG-Shope
10,BERRIN,KgShop-BROSS,FSSERVER,2015-08-31 22:34:33.320000,0,KG-Shope
11,BERRIN,KgShop-BROSS,FSSERVER,2015-09-01 08:15:41.480000,5000,KG-Shope
12,BERRIN,KgShop-BROSS,FSSERVER,2015-09-01 08:15:41.493000,0,KG-Shope
13,BERRIN,KgShop-BROSS,FSSERVER,2015-09-01 10:42:26.750000,5000,KG-Shope
14,BERRIN,KgShop-BROSS,FSSERVER,2015-09-01 10:42:26.763000,0,KG-Shope
15,FUNDA,KgShop-ADMIN-8A1368E2E,FSSERVER,2015-09-02 10:34:02.027000,100,KG-Shope
16,FUNDA,KgShop-ADMIN-8A1368E2E,FSSERVER,2015-09-02 10:34:02.923000,0,KG-Shope
17,MURAT,KgShop-ADMIN-661D33316,FSSERVER,2015-09-04 16:50:43.803000,5000,KG-Shope
18,MURAT,KgShop-ADMIN-661D33316,FSSERVER,2015-09-04 16:50:43.827000,0,KG-Shope
19,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:00.493000,5000,KG-Shope
20,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:00.520000,0,KG-Shope
21,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:12.450000,5000,KG-Shope
22,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:12.480000,0,KG-Shope
23,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:17.140000,5000,KG-Shope
24,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:17.163000,0,KG-Shope
25,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:43.177000,5000,KG-Shope
26,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 18:36:43.200000,0,KG-Shope
27,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:10:37.333000,5000,KG-Shope
28,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:10:46.340000,5000,KG-Shope
29,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:10:46.370000,0,KG-Shope
30,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:26:50.680000,5000,KG-Shope
31,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:26:50.700000,0,KG-Shope
32,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:27:18.330000,5000,KG-Shope
33,HALIL,KgShop-PARAKENDE,FSSERVER,2015-09-05 19:27:18.350000,0,KG-Shope
