STOK_Tip,Tanim,DBName
Babet,Babet,LINDON
Bot & Bootie,Bot & Bootie,LINDON
Çizme,Çizme,LINDON
Günlük Ayakkabı,Günlük Ayakkabı,LINDON
Kosu Ayakkabisi,Kosu,LINDON
Loafer,Loafer,LINDON
Omuz Çantası,Omuz Çantası,LINDON
Sandalet,Sandalet,LINDON
Sneaker,Sneaker,LINDON
Stiletto,Stiletto,LINDON
Terlik,Terlik,LINDON
Topuklu Ayakkab,Topuklu Ayakkab,LINDON
Babet,Babet,LINDONSENTOS
Bot & Bootie,Bot & Bootie,LINDONSENTOS
Çizme,Çizme,LINDONSENTOS
Günlük Ayakkabı,Günlük Ayakkabı,LINDONSENTOS
Kosu Ayakkabisi,Kosu,LINDONSENTOS
Loafer,Loafer,LINDONSENTOS
Omuz Çantası,Omuz Çantası,LINDONSENTOS
Sandalet,Sandalet,LINDONSENTOS
Sneaker,Sneaker,LINDONSENTOS
Stiletto,Stiletto,LINDONSENTOS
Terlik,Terlik,LINDONSENTOS
Topuklu Ayakkab,Topuklu Ayakkab,LINDONSENTOS
