id,sipno,belgeno,tarih,company_id,user_id,miktar,tip,modul,baglisipno,islemtar,skod,rkod,renk_tanim,sipharinx,ozkod1
626673,3640.0,00604,5 Ocak 2022 Çarsamba,71.0,1933.0,6.0,yazdir_siparisformu,SiparisDetayEkrani,3637.0,2022-01-05 14:30:22,393 3160,2171,CAMEL GARNI DERI,17516.0,
626674,3640.0,00604,5 Ocak 2022 Çarsamba,71.0,1933.0,12.0,yazdir_siparisformu,SiparisDetayEkrani,3637.0,2022-01-05 14:30:22,393 3160,2174,BEJ GARNI DERI,17516.0,
628699,3657.0,00605,6 Ocak 2022 Persembe,71.0,1943.0,8.0,yazdir_siparisformu,SiparisDetayEkrani,3656.0,2022-01-06 11:34:54,007 21 02,313,44,17591.0,
628700,3657.0,00605,6 Ocak 2022 Persembe,71.0,1943.0,8.0,yazdir_siparisformu,SiparisDetayEkrani,3656.0,2022-01-06 11:34:54,007 21 03,314,55,17592.0,
628701,3657.0,00605,6 Ocak 2022 Persembe,71.0,1943.0,8.0,yazdir_siparisformu,SiparisDetayEkrani,3656.0,2022-01-06 11:34:54,007 21 50,551,10,17590.0,
628702,3646.0,00600,6 Ocak 2022 Persembe,71.0,1943.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3644.0,2022-01-06 11:34:54,007 21 307,315,66,17544.0,
628703,3646.0,00600,6 Ocak 2022 Persembe,71.0,1943.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3644.0,2022-01-06 11:34:54,007 21 307,318,88,17544.0,
629008,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,26,201,17560.0,
629009,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,40.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,232,134,17560.0,
629010,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,240,149,17560.0,
629011,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,342,207,17560.0,
629012,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,1528,188,17560.0,
629013,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,40.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,1851,SIYAH DERI,17558.0,
629014,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,40.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,2903,019,17560.0,
629015,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,2907,153,17560.0,
629016,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,40.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1110,3771,002,17559.0,
629017,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1119,232,134,17561.0,
629018,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1119,1528,188,17561.0,
629019,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1119,2908,155,17561.0,
629020,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:25,009 1119,3554,208,17561.0,
629021,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,24.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:31,009 1110,26,201,17560.0,
629022,3653.0,00606,6 Ocak 2022 Persembe,71.0,1935.0,40.0,yazdir_siparisformu,SiparisDetayEkrani,3652.0,2022-01-06 12:07:31,009 1110,232,134,17560.0,
