CatalogName,CatalogTitle,Visible,Catalog_id,WSCatalogID,LastControlDT,lvknc,DBName
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,BAHAR
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,DEVIRDENEME
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,ECEDEN
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,MUHAS
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,NILA
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2025-05-11 22:59:08.440000,,TANCA
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2006
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2007
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2008
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2009
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2010
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2011
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2012
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2013
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2014
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2015
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2016
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2018
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCA2019
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TANCAESKI
TANCA,TANCA,T,c8b0af29-9046-40bb-b648-0e4051a4adc7,26,2024-07-23 22:37:57.567000,,TESTTT
