inx,HCTutar,AVTutar,ParaCinsi,BasTar,BitTar,DBName
28,250.000000,1.000000,TL,2001-07-01 00:00:00,2030-12-30 00:00:00,TANCA
29,50.000000,1.000000,TL,2001-01-01 00:00:00,2030-12-30 00:00:00,TANCA
30,100.000000,1.000000,TL,2001-01-01 00:00:00,2030-12-30 00:00:00,TANCA
31,150.000000,1.000000,TL,2001-01-01 00:00:00,2030-12-30 00:00:00,TANCA
32,200.000000,1.000000,TL,2001-01-01 00:00:00,2030-12-30 00:00:00,TANCA
33,1500.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
34,750.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
35,420.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
36,160.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
37,138.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
38,188.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
39,502.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
40,48.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
41,350.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
42,130.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
45,395.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
46,365.000000,1.000000,TL,2017-01-01 00:00:00,2030-12-30 00:00:00,TANCA
47,337.000000,1.000000,TL,2018-01-01 00:00:00,2030-12-30 00:00:00,TANCA
51,10000.000000,1.000000,TL,2018-01-01 00:00:00,2030-12-30 00:00:00,TANCA
53,300.000000,1.000000,TL,2018-01-01 00:00:00,2030-12-30 00:00:00,TANCA
54,2500.000000,1.000000,TL,2018-01-01 00:00:00,2030-12-30 00:00:00,TANCA
59,450.000000,1.000000,TL,2019-01-01 00:00:00,2030-12-30 00:00:00,TANCA
61,500.000000,1.000000,TL,2019-05-01 00:00:00,2030-12-30 00:00:00,TANCA
62,5000.000000,1.000000,TL,2019-05-15 00:00:00,2030-12-30 00:00:00,TANCA
63,2000.000000,1.000000,TL,2019-05-15 00:00:00,2030-12-30 00:00:00,TANCA
64,450.000000,1.000000,TL,2019-09-01 00:00:00,2030-12-30 00:00:00,TANCA
65,100.000000,1.000000,TL,2020-01-01 00:00:00,2030-12-30 00:00:00,TANCA
66,1000.000000,1.000000,TL,2022-04-01 00:00:00,2029-04-28 00:00:00,TANCA
