CatalogName,CatalogTitle,Visible,Catalog_id,WSCatalogID,LastControlDT,lvknc
Kosem15,Kosem15,T,026601a9-5097-4824-8226-d23a6021e6dd,2191,2021-09-23 13:41:32.057000,
Kosem16,Kosem16,T,aaa94364-d4de-4633-b259-dfd94e66e1e8,,,
Kosem17,Kosem17,T,afd9078c-f80a-4f9d-bb41-b0895f9e5b82,14687,2024-05-02 19:12:27.050000,
Kosem18,Kosem18,T,60c9a521-8db8-4e5e-82fb-9e20018a436b,1995,2025-01-02 17:54:46.090000,
KOSEM2016,KOSEM2016,T,6373617d-1827-4c4b-b745-e564a799c846,1996,,
Kosem2017,Kosem2017,T,9eda327a-67ab-49d5-bd68-784a856d9f37,2560,2024-05-02 19:50:18.090000,
Kosem2018,Kosem2018,T,8e53e7d3-fa93-4774-bcde-3dffb5561035,1997,2024-05-02 20:27:55.300000,
KOSEM2023,KOSEM2023,T,baeaccb7-a130-48f7-b80c-2567b60a9ec1,19557,2024-08-08 13:14:45.977000,2023-01-25 16:19:25.100000
Kosem22,Kosem22,T,66188acf-d6a4-4e5e-beef-0eaae1eb652e,2485,2022-09-05 02:35:05.690000,
KOSEM23,KOSEM23,T,b1039661-0c3e-4f07-ad46-9b1ee0255ede,2614,2025-05-31 14:24:28.313000,2023-02-01 02:42:00.450000
