UserName,CatalogName,AccessTT,ReadLoc,WriteLoc,DBName
ceyhun.yavas,Antrepo20,001,,,Antrepo20
ceyhun.yavas,Antrepo20,002,,,Antrepo20
ceyhun.yavas,Antrepo20,003,,,Antrepo20
ceyhun.yavas,Antrepo20,004,,,Antrepo20
ceyhun.yavas,Antrepo20,005,,,Antrepo20
ceyhun.yavas,Antrepo20,006,,,Antrepo20
ceyhun.yavas,Antrepo20,007,,,Antrepo20
ceyhun.yavas,Antrepo20,008,,,Antrepo20
ceyhun.yavas,Antrepo20,009,,,Antrepo20
ceyhun.yavas,Antrepo20,010,,,Antrepo20
ceyhun.yavas,Antrepo20,011,,,Antrepo20
ceyhun.yavas,Antrepo20,012,,,Antrepo20
ceyhun.yavas,Antrepo20,013,,,Antrepo20
ceyhun.yavas,Antrepo20,014,,,Antrepo20
fatih.gezer,Antrepo20,001,,,Antrepo20
fatih.gezer,Antrepo20,002,,,Antrepo20
fatih.gezer,Antrepo20,003,,,Antrepo20
fatih.gezer,Antrepo20,004,,,Antrepo20
fatih.gezer,Antrepo20,005,,,Antrepo20
fatih.gezer,Antrepo20,006,,,Antrepo20
fatih.gezer,Antrepo20,007,,,Antrepo20
fatih.gezer,Antrepo20,008,,,Antrepo20
fatih.gezer,Antrepo20,009,,,Antrepo20
fatih.gezer,Antrepo20,010,,,Antrepo20
fatih.gezer,Antrepo20,011,,,Antrepo20
fatih.gezer,Antrepo20,012,,,Antrepo20
fatih.gezer,Antrepo20,013,,,Antrepo20
fatih.gezer,Antrepo20,014,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,001,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,002,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,003,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,004,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,005,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,006,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,007,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,008,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,009,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,010,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,011,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,012,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,013,,,Antrepo20
