Bolum,tip,Tanim,ParaCinsi,Taksit,OzKod1,OzKod2,Pasif
AF,A01,Alış Fiyatı TL,TL,0,,,
AF,A02,Alış Fiyatı Usd,US,0,,,
AF,A03,Alış Fiyatı Euro,EU,0,,,
AF,A04,Alış Fiyatı Usd (S.ast),US,0,,,
AF,A05,Alış Fiyatı Usd (Y.Kürk),US,0,,,
AF,A06,Alış Fiyatı Usd (Kürk),US,0,,,
AF,A07,Alış Fiyatı Usd ( PELUŞ),US,0,,,
AF,F02,Alış Fiyatı Usd,US,0,,,
AF,K02,Alış Fiyatı Usd (Kroko),US,0,,,
SF,FS0,Satış Fiyatı Usd,US,0,,,
SF,K02,Satış Fiyatı Usd (Kroko),US,0,,,
SF,S01,Satış Fiyatı TL,TL,0,,,
SF,S02,Satış Fiyatı Usd,US,0,,,
SF,S03,Satış Fiyatı Euro,EU,0,,,
SF,S04,Satış Fiyatı Usd (Kürk),US,0,,,
SF,S05,Satış Fiyatı Usd (S.Ast),US,0,,,
SF,S06,Satış Fiyatı Usd (Y.Kürk),US,0,,,
SF,S07,Satış Fiyatı Usd (PELUŞ),US,0,,,
